"","upper.mb","lower.mb","upper.pw","lower.pw","est","sd","type","delta","rate","lower.emp","upper.emp"
"38",2.1337093522294,1.76228097862125,2.12717345758502,1.76881687326563,1.65844514199764,0.00431336047474412,"PI",3,4,1.64999095546715,1.66689932852814
"39",2.17018053538822,1.76411329080698,2.16571180794335,1.76858201825185,1.67164576292499,0.00466991156958556,"PI",3.28571428571429,4,1.6624927362486,1.68079878960137
"40",2.19379940491478,1.72150541959423,2.19180202740341,1.7235027971056,1.68312274715155,0.00450085232876484,"PI",3.57142857142857,4,1.67430107658717,1.69194441771593
"41",2.22945266005713,1.70842113266775,2.22997294729845,1.70790084542644,1.69290917365387,0.00409574183376964,"PI",3.85714285714286,4,1.68488151965969,1.70093682764806
"42",2.25638050278672,1.58385293543213,2.29433548702909,1.54589795118976,1.70116963881297,0.0039822158733822,"PI",4.14285714285714,4,1.69336449570114,1.7089747819248
"43",2.35250848717554,1.62041236383048,2.38659873479113,1.58632211621489,1.70821892017647,0.00384032640346013,"PI",4.42857142857143,4,1.70069188042569,1.71574595992726
"44",2.40578950947361,1.59126907301073,2.44128183090378,1.55577675158055,1.71324562380496,0.00360878396105464,"PI",4.71428571428571,4,1.70617240724129,1.72031884036863
"45",2.52284342172028,1.50553658062828,2.60513785842968,1.42324214391889,1.71870294948214,0.00377782560396449,"PI",5,4,1.71129841129837,1.72610748766591
"46",2.48398969808119,2.09553493930443,2.47325165297272,2.1062729844129,1.26611015719073,0.00846266899323405,"PI",1,6,1.24952332596399,1.28269698841747
"47",2.41941773621206,2.05932895826409,2.40867732748128,2.07006936699487,1.31449280770305,0.00927760982682888,"PI",1.28571428571429,6,1.29630869244246,1.33267692296363
"48",2.37429354029686,2.02398384736908,2.36346833278841,2.03480905487754,1.35356852099383,0.00730252639790865,"PI",1.57142857142857,6,1.33925556925393,1.36788147273373
"49",2.36921765879855,2.02030103861572,2.35874585194738,2.0307728454669,1.39134759883365,0.00754683213785191,"PI",1.85714285714286,6,1.37655580784346,1.40613938982384
"50",2.35377410431667,1.98724087373083,2.34395345285943,1.99706152518807,1.42012256062847,0.00700870189185842,"PI",2.14285714285714,6,1.40638550492043,1.43385961633652
"51",2.35893646913987,1.97299015321655,2.34973327628346,1.98219334607296,1.44628622412461,0.00730803051153661,"PI",2.42857142857143,6,1.431962484322,1.46060996392722
"52",2.3571604281914,1.94368571329929,2.34971929849548,1.95112684299522,1.46649891990886,0.0065466104340281,"PI",2.71428571428571,6,1.45366756345817,1.47933027635956
"53",2.35707623754781,1.90833579376507,2.35220474975444,1.91320728155845,1.48650809057627,0.00554235555427918,"PI",3,6,1.47564507368988,1.49737110746265
"54",2.37104401889244,1.86391950413178,2.36901014205622,1.865953380968,1.50085862952024,0.00651605385778889,"PI",3.28571428571429,6,1.48808716395898,1.51363009508151
"55",2.38586136495928,1.83116772458104,2.38450702022451,1.83252206931581,1.51426822716089,0.00590824670288986,"PI",3.57142857142857,6,1.50268806362323,1.52584839069855
"56",2.42475374923157,1.7973479605749,2.42987525011,1.79222645969648,1.52428549923094,0.00563376985190494,"PI",3.85714285714286,6,1.51324331032121,1.53532768814068
"57",2.48227596597067,1.74872496860475,2.50137344782824,1.72962748674719,1.53505760806194,0.00560743351971906,"PI",4.14285714285714,6,1.52406703836329,1.54604817776059
"58",2.52391308740518,1.71674728770331,2.54621392795159,1.6944464471569,1.54393538032561,0.00586229117565666,"PI",4.42857142857143,6,1.53244528962133,1.5554254710299
"59",2.62836548208152,1.65431038749318,2.6634191599853,1.6192567095894,1.54966200135569,0.00483025419785851,"PI",4.71428571428571,6,1.54019470312789,1.55912929958349
"60",2.71681180936041,1.5072387952913,2.79494699376539,1.42910361088632,1.55621069266688,0.00522998329597023,"PI",5,6,1.54595992540678,1.56646145992699
